iso,name,MRGID,GEONAME,POL_TYPE
AZE,Azerbaijan,26524,Azerbaijani Exclusive Economic Zone,200NM
KAZ,Kazakhstan,26522,Kazakh Exclusive Economic Zone,200NM
MMR,Myanmar,8482,Myanma Exclusive Economic Zone,200NM
POL,Poland,5687,Polish Exclusive Economic Zone,200NM
IND,India,8480,Indian Exclusive Economic Zone,200NM
NA,Halaib Triangle,26582,Overlapping claim Halaib Triangle: Sudan / Egypt,Overlapping claim
BEN,Benin,8393,Beninese Exclusive Economic Zone,200NM
SVN,Slovenia,5692,Slovenian Exclusive Economic Zone,200NM
MYS,Malaysia,8483,Malaysian Exclusive Economic Zone,200NM
NA,Overlapping claim: South China Sea,49003,Overlapping claim: South China Sea,Overlapping claim
NA,Joint regime area: Croatia / Slovenia,50167,Joint regime area: Croatia / Slovenia,Joint regime
KOR,South Korea,8327,South Korean Exclusive Economic Zone,200NM
NA,Liancourt Rocks,48955,Overlapping claim Liancourt Rocks: Japan / South Korea,Overlapping claim
NA,Overlapping claim: Qatar / Saudi Arabia / United Arab Emirates,50170,Overlapping claim: Qatar / Saudi Arabia / United Arab Emirates,Overlapping claim
NZL,New Zealand,8455,New Zealand Exclusive Economic Zone,200NM
UMI,Jarvis Island,8442,United States Exclusive Economic Zone (Jarvis Islands),200NM
TUV,Tuvalu,8326,Tuvaluan Exclusive Economic Zone,200NM
WLF,Wallis and Futuna,8454,French Exclusive Economic Zone (Wallis and Futuna),200NM
UMI,Howland and Baker Islands,8451,United States Exclusive Economic Zone (Howland and Baker Islands),200NM
FJI,Fiji,8325,Fijian Exclusive Economic Zone,200NM
BRA,Brazil,8464,Brazilian Exclusive Economic Zone,200NM
KIR,Line Group,8441,Kiribati Exclusive Economic Zone (Line Group),200NM
KIR,Gilbert Islands,8488,Kiribati Exclusive Economic Zone (Gilbert Islands),200NM
ECU,Galapagos,8403,Ecuadorian Exclusive Economic Zone (Galapagos),200NM
ECU,Ecuador,8431,Ecuadorian Exclusive Economic Zone,200NM
STP,Sao Tome and Principe,8397,São Toméan Exclusive Economic Zone,200NM
FSM,Micronesia,8316,Micronesian Exclusive Economic Zone,200NM
GNQ,Equatorial Guinea,8398,Equatorial Guinean Exclusive Economic Zone,200NM
MDV,Maldives,8345,Maldivian Exclusive Economic Zone,200NM
PNG,Papua New Guinea,8324,Papua New Guinean Exclusive Economic Zone,200NM
SOM,Federal Republic of Somalia,8350,Somali Exclusive Economic Zone,200NM
