Name,ISO 3166,Type,Administering Power,Disputed by,,Reviewed in MM -Map3,Spanish,Updated in SP?,French,Updated in FR?,Bahasa
San Marino,SMR,UN Member State,N/A,N/A,,Yes,,,,,
Sao Tome and Principe,STP,UN Member State,N/A,N/A,,Yes,,,,,
Saudi Arabia,SAU,UN Member State,N/A,N/A,,Yes,,,,,
Senegal,SEN,UN Member State,N/A,N/A,,Yes,,,,,
Serbia,SRB,UN Member State,N/A,N/A,,Yes,,,,,
Seychelles,SYC,UN Member State,N/A,N/A,,Yes,,,,,
Sierra Leone,SLE,UN Member State,N/A,N/A,,Yes,,,,,
Singapore,SGP,UN Member State,N/A,N/A,,Yes,,,,,
Sint Maarten (Dutch part),SXM,Dependency,Netherlands,N/A,,Yes-updated,San Martín (Países Bajos),Yes-updated,Saint-Martin (Pays-Bas),Yes-updated,Updated with English version
Slovakia,SVK,UN Member State,N/A,N/A,,Yes,,,,,
Slovenia,SVN,UN Member State,N/A,N/A,,Yes,,,,,
Solomon Islands,SLB,UN Member State,N/A,N/A,,Yes,,,,,
Somalia,SOM,UN Member State,N/A,N/A,,Yes,,,,,
South Africa,ZAF,UN Member State,N/A,N/A,,Yes,,,,,
South Georgia and the South Sandwich Islands,SGS,Dependency,United Kingdom,N/A,,Yes-updated,Georgias del Sur y Sandwich del Sur,Yes-updated,Géorgie du Sud-et-les îles Sandwich du Sud,Yes-updated,Updated with English version
South Sudan,SSD,UN Member State,N/A,N/A,,Yes,,,,,
Spain,ESP,UN Member State,N/A,N/A,,Yes,,,,,
Sri Lanka,LKA,UN Member State,N/A,N/A,,Yes,,,,,
Sudan,SDN,UN Member State,N/A,N/A,,Yes,,,,,
Suriname,SUR,UN Member State,N/A,N/A,,Yes,,,,,
Svalbard and Jan Mayen,SJM,Dependencies,Norway,N/A,,Yes,,,,,
Sweden,SWE,UN Member State,N/A,N/A,,Yes,,,,,
Switzerland,CHE,UN Member State,N/A,N/A,,Yes,,,,,
Syrian Arab Republic,SYR,UN Member State,N/A,N/A,,Yes-updated,República Árabe Siria,Yes-updated,République arabe syrienne,Yes-updated,Updated with English version
Tajikistan,TJK,UN Member State,N/A,N/A,,Yes,,,,,
Thailand,THA,UN Member State,N/A,N/A,,Yes,,,,,
Timor-Leste,TLS,UN Member State,N/A,N/A,,Yes,,,,,
Togo,TGO,UN Member State,N/A,N/A,,Yes,,,,,
Tokelau,TKL,Non-Self-Governing Territory,New Zealand,N/A,,Yes,,,,,
Tonga,TON,UN Member State,N/A,N/A,,Yes,,,,,
Trinidad and Tobago,TTO,UN Member State,N/A,N/A,,Yes,,,,,
Tunisia,TUN,UN Member State,N/A,N/A,,Yes,,,,,
Turkey,TUR,UN Member State,N/A,N/A,,Yes,,,,,
Turkmenistan,TKM,UN Member State,N/A,N/A,,Yes,,,,,
Turks and Caicos Islands,TCA,Non-Self-Governing Territory,United Kingdom,N/A,,Yes,,,,,
Tuvalu,TUV,UN Member State,N/A,N/A,,Yes,,,,,
Uganda,UGA,UN Member State,N/A,N/A,,Yes,,,,,
Ukraine,UKR,UN Member State,N/A,N/A,,Yes,,,,,
United Arab Emirates,ARE,UN Member State,N/A,N/A,,Yes,,,,,
United Kingdom of Great Britain and Northern Ireland,GBR,UN Member State,N/A,N/A,,Yes-updated,Reino Unido de Gran Bretaña e Irlanda del Norte,Yes-updated,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,Yes-updated,Updated with English version
United Republic of Tanzania,TZA,UN Member State,N/A,N/A,,Yes,,,,,
United States Minor Outlying Islands,UMI,Dependency,United States of America,N/A,,Yes,,,,,
United States of America,USA,UN Member State,N/A,N/A,,Yes,,,,,
United States Virgin Islands,VIR,Non-Self-Governing Territory,United States of America,N/A,,Yes,,,,,
Uruguay,URY,UN Member State,N/A,N/A,,Yes,,,,,
Uzbekistan,UZB,UN Member State,N/A,N/A,,Yes,,,,,
Vanuatu,VUT,UN Member State,N/A,N/A,,Yes,,,,,
"Venezuela, Bolivarian Republic of",VEN,UN Member State,N/A,N/A,,Yes-updated,Venezuela (República Bolivariana de),Yes-updated,Venezuela (République bolivarienne du),Yes-updated,Updated with English version
Viet Nam,VNM,UN Member State,N/A,N/A,,Yes-updated,Viet Nam,Yes-updated,Vietnam,Yes-updated,Updated with English version
Wallis and Futuna,WLF,Overseas collectivity,France,N/A,,Yes,,,,,
Yemen,YEM,UN Member State,N/A,N/A,,Yes,,,,,
Zambia,ZMB,UN Member State,N/A,N/A,,Yes,,,,,
Zimbabwe,ZWE,UN Member State,N/A,N/A,,Yes,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
UN Member States,,,,,,,,,,,
NSGT,,,,,,,,,,,
ISO 3166/UN/LOCODE,,,,,,,,,,,
ITLOS Cases,,,,,,,,,,,
ATCM,,,,,,,,,,,
