"","iso","label","id","GEONAME","POL_TYPE","iso3","isoSov1","isoSov2","isoSov3","territory1"
"150",NA,"Alhucemas Islands",49001,"Overlapping claim Alhucemas Islands: Spain / Morocco","Overlapping claim",NA,NA,NA,NA,NA
"151",NA,"Perejil Island",48998,"Overlapping claim Perejil Island: Spain / Morocco","Overlapping claim",NA,NA,NA,NA,NA
"152",NA,"Ceuta",49002,"Overlapping claim Ceuta: Spain / Morocco","Overlapping claim",NA,NA,NA,NA,NA
"153",NA,"Peñón de Vélez de la Gomera",48999,"Overlapping claim Peñón de Vélez de la Gomera: Spain / Morocco","Overlapping claim",NA,NA,NA,NA,NA
"154",NA,"Chafarinas Islands",48997,"Overlapping claim Chafarinas Islands: Spain / Morocco","Overlapping claim",NA,NA,NA,NA,NA
"155","ARE","United Arab Emirates",8360,"Emirati Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"156","CYP","Cyprus",8376,"Cypriote Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"157",NA,"Abu musa, Greater and Lesser Tunb",48947,"Overlapping claim Abu musa, Greater and Lesser Tunb: United Arab Emirates / Iran","Overlapping claim",NA,NA,NA,NA,NA
"158",NA,"Doumeira Islands",48956,"Overlapping claim Doumeira Islands: Eritrea / Djibouti","Overlapping claim",NA,NA,NA,NA,NA
"159","EGY","Egypt",8490,"Egyptian Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"160","ERI","Eritrea",8351,"Eritrean Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"161","GEO","Georgia",5678,"Georgian Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"162","IRN","Iran",8469,"Iranian Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"163","LBN","Lebanon",8374,"Lebanese Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"164","LBY","Libya",8372,"Libyan Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"165","MLT","Malta",5685,"Maltese Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"166","OMN","Oman",8354,"Omani Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"167","SAU","Saudi Arabia",8356,"Saudi Arabian Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"168","LKA","Sri Lanka",8346,"Sri Lankan Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"169","SYR","Syria",8373,"Syrian Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"170","TGO","Togo",8392,"Togolese Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"171","GRC","Greece",5679,"Greek Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"172","TUR","Turkey",5697,"Turkish Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"173","MCO","Monaco",21790,"Monégasque Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"174","TUN","Tunisia",8366,"Tunisian Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"175","MNE","Montenegro",5691,"Montenegrin Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"176","ALB","Albania",5670,"Albanian Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
